# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0071556	CC	e	integral component of lumenal side of endoplasmic reticulum membrane	6/220	29/20670	5.257029858202329e-07	6	6	9.478424834338797e-05	972, 3113, 3115, 3117, 3122, 3123
GO:0030667	CC	e	secretory granule membrane	9/220	99/20670	1.1239903645397691e-06	6	9	0.0001787225594131872	929, 2357, 3071, 3687, 5724, 5788, 6402, 7305, 8673
GO:0062167	CC	e	complement component C1q complex	3/220	3/20670	1.189501227375622e-06	2	3	0.0001787225594131872	712, 713, 714
GO:0045121	CC	e	membrane raft	13/220	234/20670	1.439954700853492e-06	4	13	0.0001997106404337574	695, 920, 929, 3635, 3784, 4067, 4973, 5788, 7096, 7462, 10287, 10333, 84433
GO:0005765	CC	e	lysosomal membrane	15/220	337/20670	3.5403503889335447e-06	7	15	0.00045594655366051293	972, 1441, 3108, 3109, 3111, 3113, 3115, 3117, 3122, 3123, 4067, 7805, 8673, 53346, 80342
GO:0030658	CC	e	transport vesicle membrane	6/220	40/20670	3.85265058100968e-06	6	6	0.00046308859983736354	972, 3113, 3115, 3117, 3122, 3123
GO:0001772	CC	e	immunological synapse	6/220	44/20670	6.838357896732691e-06	2	6	0.000770597455488065	951, 963, 3122, 3123, 84433, 84868
GO:0016020	CC	e	membrane	45/220	2152/20670	1.022663873571581e-05	2	45	0.0010523391070934073	241, 397, 951, 972, 1794, 3071, 3099, 3108, 3115, 3117, 3123, 3683, 3687, 3689, 4033, 4688, 4689, 4973, 5294, 5777, 5788, 6404, 6518, 7096, 8673, 9023, 10257, 10287, 10809, 11314, 23526, 23533, 29760, 50619, 51225, 51700, 55843, 57413, 58191, 59307, 64926, 81704, 81793, 118788, 201305
GO:0001891	CC	e	phagocytic cup	5/220	28/20670	1.0505881268819374e-05	2	5	0.0010523391070934073	199, 3936, 9938, 23616, 51411
GO:0012507	CC	e	ER to Golgi transport vesicle membrane	6/220	55/20670	2.5476077665311253e-05	7	6	0.002417545685818747	972, 3113, 3115, 3117, 3122, 3123
GO:0101003	CC	e	ficolin-1-rich granule membrane	6/220	61/20670	4.6273363501874335e-05	7	6	0.004171543719693971	2207, 2357, 3071, 3687, 3689, 11314
GO:0016021	CC	e	integral component of membrane	62/220	3613/20670	7.541292510108237e-05	3	62	0.006474738283678644	241, 942, 972, 999, 1240, 2357, 3108, 3109, 3111, 3784, 3903, 4033, 5724, 5788, 6404, 6916, 7305, 7462, 7940, 8673, 9023, 10257, 10859, 10863, 10870, 11024, 11314, 11326, 27181, 51284, 53346, 53829, 54209, 54947, 57121, 58191, 58475, 59307, 64581, 64805, 79651, 79895, 80008, 80342, 83483, 84868, 89790, 90273, 114132, 115650, 122618, 126259, 201305, 203328, 219972, 283420, 284759, 338773, 340205, 375387, 388512, 100129250
GO:0032588	CC	e	trans-Golgi network membrane	7/220	100/20670	9.735766559668117e-05	4	7	0.007978903230491644	972, 3113, 3115, 3117, 3122, 3123, 122618
GO:0034689	CC	e	integrin alphaX-beta2 complex	2/220	2/20670	0.00011277344664759941	6	2	0.00813322097222487	3687, 3689
GO:0034688	CC	e	integrin alphaM-beta2 complex	2/220	2/20670	0.00011277344664759941	6	2	0.00813322097222487	3684, 3689
GO:0034687	CC	e	integrin alphaL-beta2 complex	2/220	2/20670	0.00011277344664759941	6	2	0.00813322097222487	3683, 3689
GO:0008305	CC	e	integrin complex	4/220	27/20670	0.00018081907581180503	5	4	0.012539107449564787	3683, 3684, 3687, 3689
GO:0034774	CC	e	secretory granule lumen	7/220	115/20670	0.0002329766272328424	6	7	0.01555766144077092	240, 718, 9535, 23526, 29108, 51411, 64333
GO:0032998	CC	e	Fc-epsilon receptor I complex	2/220	3/20670	0.00033594133746932535	5	2	0.020886283843351505	2207, 23547
GO:0044853	CC	e	plasma membrane raft	4/220	32/20670	0.00035538564798608276	5	4	0.021358677443963574	3684, 3689, 6404, 54209
GO:0043020	CC	e	NADPH oxidase complex	3/220	14/20670	0.0003970002733271665	4	3	0.023090048155125203	1536, 4688, 4689
GO:0043235	CC	e	receptor complex	9/220	216/20670	0.000530381484764845	2	9	0.029883681782219236	1436, 1441, 3689, 4973, 7096, 10333, 23643, 51284, 81793
GO:0005944	CC	e	phosphatidylinositol 3-kinase complex, class IB	2/220	4/20670	0.0006671621387326852	7	2	0.03645131321621307	5294, 23533
GO:0005654	CC	p	nucleoplasm	21/220	3808/20670	0.00031554124421313975	2	21	0.020318602261296104	240, 945, 1436, 3018, 3394, 4261, 4332, 4973, 5699, 5777, 6195, 6688, 6886, 8346, 10320, 10572, 22797, 27306, 29108, 50619, 51291
GO:0005634	CC	p	nucleus	37/220	5514/20670	0.0007034601701024949	5	37	0.03730407902043524	199, 695, 972, 2533, 3018, 3055, 3059, 3394, 3663, 3965, 4067, 5699, 5777, 6001, 6688, 6850, 6886, 7454, 8330, 8346, 9473, 10320, 11035, 22797, 23533, 23616, 29108, 50619, 51700, 54440, 64092, 80231, 84225, 85235, 114548, 122618, 221472
GO:0023026	MF	e	MHC class II protein complex binding	10/220	27/20670	1.0946059200290579e-13	4	10	4.846915013888668e-10	920, 972, 3108, 3109, 3111, 3113, 3115, 3117, 3122, 3123
GO:0004888	MF	e	transmembrane signaling receptor activity	17/220	159/20670	1.2579811646797802e-12	3	17	2.7851702986010336e-09	920, 2209, 2210, 2214, 7096, 10261, 10333, 10871, 11024, 11314, 27181, 51284, 54209, 57413, 81793, 284021, 340205
GO:0032395	MF	e	MHC class II receptor activity	5/220	10/20670	3.149518184275507e-08	4	5	4.648688839990648e-05	3111, 3113, 3117, 3122, 3123
GO:0005096	MF	e	GTPase activator activity	16/220	274/20670	4.313930659200074e-08	5	16	4.775521239734482e-05	393, 397, 1794, 3071, 6001, 9938, 23526, 23616, 51291, 55803, 55843, 64333, 64407, 64926, 117289, 257106
GO:0038023	MF	e	signaling receptor activity	14/220	215/20670	8.077041940022753e-08	2	14	7.15302834208415e-05	920, 942, 945, 1240, 1441, 2350, 3687, 7096, 10333, 11027, 11314, 54209, 81793, 115650
GO:0005102	MF	e	signaling receptor binding	16/220	365/20670	2.0263422021732567e-06	3	16	0.0014954405452038634	718, 2533, 3055, 4067, 5788, 6404, 6503, 6850, 7305, 10333, 10870, 10875, 23547, 26281, 54360, 118788
GO:0032396	MF	e	inhibitory MHC class I receptor activity	4/220	10/20670	2.4940418932483966e-06	5	4	0.0015776596433291286	10859, 11024, 11027, 23547
GO:0019864	MF	e	IgG binding	4/220	11/20670	3.886499505431221e-06	4	4	0.002151177476256181	2207, 2209, 2210, 2214
GO:0042169	MF	e	SH2 domain binding	6/220	41/20670	4.4732479121482206e-06	4	6	0.0022008379727769243	5777, 6850, 7462, 10859, 29760, 89790
GO:0045028	MF	e	G protein-coupled purinergic nucleotide receptor activity	4/220	12/20670	5.781110332483877e-06	6	4	0.002559875655223861	2857, 5724, 53829, 64805
GO:0001851	MF	e	complement component C3b binding	3/220	5/20670	1.1708452094253073e-05	4	3	0.004320418822779384	3684, 3689, 11326
GO:0140311	MF	e	protein sequestering activity	3/220	5/20670	1.1708452094253073e-05	2	3	0.004320418822779384	6688, 7805, 147138
GO:0030246	MF	e	carbohydrate binding	10/220	177/20670	2.080215107208541e-05	2	10	0.007085532688245706	945, 3965, 4973, 6402, 27181, 64581, 89790, 114132, 283420, 388512
GO:0042605	MF	e	peptide antigen binding	5/220	37/20670	4.310361048887722e-05	4	5	0.013633056231767738	3113, 3115, 3117, 3122, 3123
GO:0015026	MF	e	coreceptor activity	5/220	39/20670	5.595756952273691e-05	3	5	0.016518674523111936	920, 942, 23547, 23643, 126259
GO:0033691	MF	e	sialic acid binding	4/220	22/20670	7.857751512189873e-05	5	4	0.02046713158586868	945, 27181, 89790, 114132
GO:0043274	MF	e	phospholipase binding	4/220	23/20670	9.432933689132682e-05	4	4	0.02115031425707832	695, 6850, 7454, 29760
GO:0071723	MF	e	lipopeptide binding	3/220	9/20670	9.529460404771022e-05	4	3	0.02115031425707832	929, 7096, 10333
GO:0005515	MF	e	protein binding	161/220	12517/20670	9.552987469321734e-05	2	161	0.02115031425707832	199, 240, 241, 393, 397, 695, 712, 713, 714, 718, 920, 929, 942, 945, 951, 963, 972, 999, 1230, 1240, 1414, 1436, 1441, 1524, 1536, 1794, 2207, 2209, 2214, 2357, 2533, 3018, 3055, 3059, 3071, 3099, 3108, 3109, 3111, 3115, 3117, 3122, 3123, 3394, 3606, 3635, 3663, 3683, 3684, 3687, 3689, 3784, 3903, 4067, 4261, 4332, 4542, 4671, 4688, 4689, 4973, 5294, 5699, 5724, 5742, 5777, 5788, 6001, 6195, 6348, 6402, 6404, 6503, 6518, 6688, 6850, 6886, 7096, 7305, 7454, 7462, 7805, 8330, 8346, 8646, 8673, 8832, 9023, 9450, 9473, 10161, 10257, 10287, 10320, 10333, 10572, 10809, 10859, 10863, 10870, 10871, 11006, 11035, 11314, 11326, 22797, 23166, 23526, 23547, 23616, 23643, 27128, 27181, 27306, 29108, 29760, 50619, 51225, 51284, 51291, 51393, 51411, 51700, 53829, 54209, 54491, 54518, 54947, 55803, 58475, 59307, 63940, 64333, 64407, 64581, 64926, 79626, 79651, 79705, 79895, 80231, 80342, 81704, 81793, 83483, 84433, 84868, 89790, 91703, 114548, 117289, 118788, 126259, 126328, 147138, 203328, 221472, 257106, 284021, 340205, 388512
GO:0004051	MF	e	arachidonate 5-lipoxygenase activity	2/220	2/20670	0.00011277344664759941	5	2	0.023779086750265247	240, 241
GO:0042608	MF	e	T cell receptor binding	3/220	10/20670	0.00013506627353945211	4	3	0.027185157237849727	1794, 3122, 3123
GO:0004875	MF	e	complement receptor activity	3/220	11/20670	0.00018425868880026056	4	3	0.03547380321771973	719, 1240, 2357
GO:0001540	MF	e	amyloid-beta binding	6/220	81/20670	0.0002266959069582739	4	6	0.04182539483380154	712, 972, 3684, 3689, 10333, 54209
GO:0003723	MF	p	RNA binding	2/220	1399/20670	6.166447985903254e-05	4	2	0.017065644800987257	6688, 64092
